iter	Passed	Remaining
0	79	79424
1	104	51931
2	126	42134
3	151	37800
4	176	35075
5	204	33806
6	228	32392
7	252	31355
8	277	30551
9	303	30022
10	329	29661
11	356	29329
12	382	29069
13	405	28536
14	429	28236
15	452	27814
16	476	27537
17	501	27363
18	525	27120
19	550	26962
20	573	26753
21	611	27195
22	646	27469
23	683	27815
24	722	28176
25	754	28260
26	788	28422
27	817	28394
28	844	28273
29	868	28065
30	894	27955
31	916	27731
32	942	27629
33	966	27473
34	991	27335
35	1014	27157
36	1037	27001
37	1062	26890
38	1084	26714
39	1109	26617
40	1130	26453
41	1155	26346
42	1181	26288
43	1207	26233
44	1235	26211
45	1264	26215
46	1291	26180
47	1316	26114
48	1347	26152
49	1429	27157
50	1486	27661
51	1526	27831
52	1551	27725
53	1577	27634
54	1601	27521
55	1627	27429
56	1651	27328
57	1676	27225
58	1699	27111
59	1726	27053
60	1750	26953
61	1774	26842
62	1796	26713
63	1822	26657
64	1845	26543
65	1870	26467
66	1892	26347
67	1915	26256
68	1941	26189
69	1964	26094
70	1991	26054
71	2014	25964
72	2041	25921
73	2064	25838
74	2090	25778
75	2113	25694
76	2140	25660
77	2163	25577
78	2187	25502
79	2209	25412
80	2236	25371
81	2259	25294
82	2283	25226
83	2306	25147
84	2330	25087
85	2354	25019
86	2377	24945
87	2403	24905
88	2426	24841
89	2452	24792
90	2473	24710
91	2497	24647
92	2521	24588
93	2546	24539
94	2569	24482
95	2594	24436
96	2620	24392
97	2644	24340
98	2669	24292
99	2692	24236
100	2719	24205
101	2745	24173
102	2770	24130
103	2795	24081
104	2818	24025
105	2842	23975
106	2867	23934
107	2890	23877
108	2916	23841
109	2939	23781
110	2963	23737
111	2985	23673
112	3010	23630
113	3035	23589
114	3058	23539
115	3082	23489
116	3106	23443
117	3132	23414
118	3154	23356
119	3179	23313
120	3201	23257
121	3226	23221
122	3249	23166
123	3272	23118
124	3296	23075
125	3319	23025
126	3345	22995
127	3366	22937
128	3391	22899
129	3415	22859
130	3439	22815
131	3463	22775
132	3485	22724
133	3511	22696
134	3534	22648
135	3559	22612
136	3581	22561
137	3606	22525
138	3630	22490
139	3657	22465
140	3680	22420
141	3703	22377
