iter	MultiClass
0	1.915602603
1	1.845950237
2	1.823819232
3	1.782756626
4	1.744488001
5	1.719752956
6	1.692135334
7	1.646455993
8	1.619125961
9	1.594684238
10	1.571746435
11	1.553351563
12	1.514003168
13	1.474693332
14	1.453824935
15	1.429770831
16	1.404070472
17	1.378888437
18	1.363339735
19	1.343824068
20	1.323999323
21	1.303914173
22	1.285848643
23	1.261889104
24	1.237627937
25	1.215876136
26	1.192240553
27	1.174657807
28	1.157811051
29	1.133172242
30	1.117244651
31	1.095080163
32	1.073618073
33	1.056812426
34	1.039216519
35	1.020161386
36	1.001203665
37	0.9922996135
38	0.9749617686
39	0.9589834364
40	0.9431711268
41	0.9330642008
42	0.9222798931
43	0.9109440713
44	0.894960443
45	0.879769825
46	0.8689767754
47	0.8595496179
48	0.8481801318
49	0.8357946037
50	0.8186374512
51	0.8073968445
52	0.7856579346
53	0.7683449712
54	0.7587049491
55	0.7472259187
56	0.7365568016
57	0.7258993214
58	0.7173923464
59	0.7099106015
60	0.6942663989
61	0.6798187439
62	0.6714907279
63	0.662445202
64	0.6538336323
65	0.6438858577
66	0.6285022637
67	0.6168841804
68	0.6045050968
69	0.5915969616
70	0.583125161
71	0.5729292364
72	0.5658001722
73	0.5541556479
74	0.54605292
75	0.5400186277
76	0.5321365492
77	0.5227212189
78	0.5089591406
79	0.5033290528
80	0.4950277821
81	0.4893422079
82	0.4800381196
83	0.4741794187
84	0.469682637
85	0.4612155531
86	0.4517916222
87	0.4471029312
88	0.4396925562
89	0.4333558508
90	0.4251041503
91	0.4193438873
92	0.415508993
93	0.4112515705
94	0.405377896
95	0.3991892572
96	0.3927145006
97	0.3893443693
98	0.3839193667
99	0.3788843847
100	0.3730220777
101	0.3688939692
102	0.364231981
103	0.3594816588
104	0.3546759831
105	0.3499963873
106	0.3450883686
107	0.3410392367
108	0.3375625384
109	0.3343621389
110	0.3311594335
111	0.3264324912
112	0.3241919684
113	0.3214530947
114	0.317682098
115	0.3136771221
116	0.3100993259
117	0.3070663107
118	0.3025193475
119	0.2999279356
120	0.2959320944
121	0.2923634879
122	0.2903577142
123	0.2867830065
124	0.2827739857
125	0.279675493
126	0.2770752117
127	0.2723885462
128	0.2700762228
129	0.2670069886
130	0.2647128306
131	0.2627189681
132	0.2605200211
133	0.2568311007
134	0.2548164394
135	0.253254041
136	0.2508395307
137	0.2489517939
138	0.2470539455
139	0.2458894324
140	0.2434037468
141	0.2407964864
142	0.2388448716
143	0.2363499516
144	0.2330211631
145	0.231299836
146	0.2299371234
147	0.2281707768
148	0.2260187118
149	0.2245246463
150	0.2228975117
151	0.2207016245
152	0.2183975974
153	0.217322312
154	0.2152819213
155	0.213935135
156	0.2113283152
157	0.2095191519
158	0.2082080883
159	0.2069622633
160	0.2054990275
161	0.2039470531
162	0.2027073842
163	0.2007900304
164	0.1988982227
165	0.1978038072
166	0.1959293166
167	0.1945134952
168	0.192723827
169	0.1910657151
170	0.1892443147
171	0.1879553642
172	0.1868629575
173	0.1855725827
174	0.1844217092
175	0.1833586339
176	0.182336269
177	0.1808857698
178	0.1797352745
179	0.1782710624
180	0.1767323725
181	0.1753797857
182	0.1741293494
183	0.1731600351
184	0.1722264771
185	0.1712419398
186	0.1698006767
187	0.1684165642
188	0.1675215227
189	0.1667541085
190	0.1655078986
191	0.164650819
192	0.1630611288
193	0.1618211531
194	0.1608741013
195	0.1599342863
196	0.1586632259
197	0.1576687198
198	0.1567648365
199	0.1552741248
200	0.1539929136
201	0.1530181195
202	0.1518578951
203	0.1509046429
204	0.1501383295
205	0.1489433465
206	0.1479566116
207	0.1471018545
208	0.1465200893
209	0.1453547222
210	0.1445048903
211	0.1435307863
212	0.1425722497
213	0.141770935
214	0.1403845302
215	0.139677167
216	0.1389432944
217	0.1384839378
218	0.1372363645
219	0.1362931448
220	0.1355451489
221	0.1345665788
222	0.1338115843
223	0.1326902137
224	0.1319311608
225	0.131366298
226	0.1307480093
227	0.1297392222
228	0.1288843957
229	0.1283985103
230	0.1277981826
231	0.1272006221
232	0.1263370445
233	0.1255489932
234	0.1248898834
235	0.1240709061
236	0.1232768375
237	0.1225814997
238	0.1218175569
239	0.1214085563
240	0.1208516575
241	0.1202645716
242	0.1192990975
243	0.1187163334
244	0.1182357982
245	0.1177075082
246	0.1170056131
247	0.1163369145
248	0.1158983279
249	0.1153639383
250	0.1148882598
251	0.1142906812
252	0.1136230535
253	0.1128304812
254	0.1122530731
255	0.1117402
256	0.1111792683
257	0.1108141071
258	0.1100775346
259	0.1096342783
260	0.1091346379
261	0.1084912864
262	0.1078533276
263	0.1074305583
264	0.1067800008
265	0.1063406788
266	0.1058694224
267	0.1053930362
268	0.1049106128
269	0.1043083277
270	0.1038102765
271	0.103175691
272	0.1027959074
273	0.1024207823
274	0.1020043086
275	0.1014298403
276	0.1007295067
277	0.1004518
278	0.09983391011
279	0.09930080621
280	0.0989045114
281	0.09852666875
282	0.09824339408
283	0.09772975441
284	0.09739395651
285	0.09687366896
286	0.09645779017
287	0.09596585461
288	0.09527702702
289	0.09493783122
290	0.09464050938
291	0.09430895186
292	0.09398404479
293	0.09363620498
294	0.09313537997
295	0.09280856173
296	0.0925191154
297	0.09218329901
298	0.09194815639
299	0.09163070216
300	0.09138195125
301	0.09108259684
302	0.09068039276
303	0.09035639432
304	0.08999855235
305	0.08974974497
306	0.0893710175
307	0.08897066988
308	0.08866950871
309	0.08840667286
310	0.08809267345
311	0.08756212289
312	0.08728303355
313	0.08693741828
314	0.08672859598
315	0.08634158144
316	0.08588258092
317	0.08542504
318	0.08518632244
319	0.08467272362
320	0.08429567511
321	0.08404457493
322	0.08362359534
323	0.08306596287
324	0.08273358292
325	0.08232190801
326	0.08203619019
327	0.08177567855
328	0.08126494146
329	0.08097475985
330	0.08075151468
331	0.08035101077
332	0.08008286715
333	0.0797647835
334	0.07953552398
335	0.07899513119
336	0.07875646174
337	0.07844632972
338	0.07808913638
339	0.07789391577
340	0.0775390365
341	0.07723770658
342	0.0769626685
343	0.07678006234
344	0.07645946881
345	0.07612213568
346	0.07592334749
347	0.07537360898
348	0.07492229653
349	0.07456744877
350	0.07439981635
351	0.07406454705
352	0.07375880982
353	0.07357771563
354	0.07337897278
355	0.07295536897
356	0.07272603017
357	0.07237560033
358	0.07208000487
359	0.07188751452
360	0.07161769529
361	0.07134330065
362	0.07102653627
363	0.07067829398
364	0.07046260683
365	0.07009656253
366	0.06982253369
367	0.0695282072
368	0.06935271909
369	0.06915063756
370	0.06897941208
371	0.06872119505
372	0.0684866742
373	0.06831107604
374	0.0679673634
375	0.06774349061
376	0.06756915052
377	0.06734306911
378	0.06713381041
379	0.06698841703
380	0.06674416522
381	0.06659064788
382	0.06633575827
383	0.06610260526
384	0.06576825984
385	0.06547446256
386	0.06528021206
387	0.06505339134
388	0.0648598571
389	0.06472885066
390	0.06446557561
391	0.06435529771
392	0.06424238364
393	0.06411159308
394	0.06393616815
395	0.06374490758
396	0.06338158911
397	0.06324651203
398	0.0630950942
399	0.0629149095
400	0.06269422787
401	0.06254090625
402	0.06237613368
403	0.06206514437
404	0.06194081188
405	0.06174657353
406	0.06163886343
407	0.06135287984
408	0.06120798965
409	0.06103390243
410	0.06076388683
411	0.0603970417
412	0.06025993598
413	0.0600429541
414	0.05989021565
415	0.05972957038
416	0.05954553896
417	0.05939878359
418	0.05927858347
419	0.05914812343
420	0.0590150096
421	0.05881799665
422	0.05856638138
423	0.05840826911
424	0.05824036272
425	0.0580990855
426	0.05793004388
427	0.05776765969
428	0.05758998271
429	0.05739883491
430	0.05720441038
431	0.05688417045
432	0.05672844783
433	0.05654906386
434	0.05640839582
435	0.05627227324
436	0.05606660449
437	0.05593007835
438	0.0557909533
439	0.05566630516
440	0.05549972476
441	0.0553592874
442	0.05507953722
443	0.05492551865
444	0.05482325322
445	0.05467014261
446	0.05452298834
447	0.05443463074
448	0.05432439183
449	0.05422161065
450	0.05405812547
451	0.05388347289
452	0.05367177076
453	0.05358868642
454	0.05348013089
455	0.0533133742
456	0.05310572678
457	0.05299801407
458	0.05290196532
459	0.05274534248
460	0.05266955199
461	0.05251563729
462	0.05238336307
463	0.05226462829
464	0.05213123608
465	0.05200496372
466	0.05185829395
467	0.05171607249
468	0.0515918833
469	0.05143930341
470	0.05135130407
471	0.05119669318
472	0.05110282638
473	0.05094252159
474	0.050844466
475	0.05074160662
476	0.05054518877
477	0.05043325983
478	0.05034359253
479	0.05020457159
480	0.05011959464
481	0.04996785877
482	0.04984076123
483	0.04973248033
484	0.04951909995
485	0.04939462419
486	0.04931189595
487	0.0492078589
488	0.0491336114
489	0.04902517239
490	0.04892719342
491	0.04884352418
492	0.04876731487
493	0.04861938958
494	0.04853748561
495	0.04839191973
496	0.04828004887
497	0.04816829456
498	0.04806306124
499	0.04797628575
500	0.04782279739
501	0.04769528199
502	0.0475944423
503	0.04742321891
504	0.04727967678
505	0.04715159606
506	0.04705048134
507	0.04686991532
508	0.04680477552
509	0.04669064683
510	0.04659124775
511	0.04643677148
512	0.04634768719
513	0.04616336041
514	0.04595587123
515	0.04588519611
516	0.04580247027
517	0.04568070514
518	0.0455742171
519	0.04542594268
520	0.0453030955
521	0.04518360316
522	0.04506361959
523	0.04495785107
524	0.0448059651
525	0.04472827313
526	0.04458707935
527	0.04442743755
528	0.04429793155
529	0.04423163181
530	0.04414730779
531	0.04404839097
532	0.04391176895
533	0.04384122336
534	0.04377734321
535	0.04369627251
536	0.04358705437
537	0.0435255243
538	0.04343600839
539	0.04331201774
540	0.04322528619
541	0.04310053614
542	0.04298853795
543	0.04285955331
544	0.04275399756
545	0.04264039467
546	0.04255739032
547	0.04245208578
548	0.04239276534
549	0.04228727575
550	0.04216932353
551	0.04203303993
552	0.04195642754
553	0.04184606414
554	0.04178304567
555	0.04169099582
556	0.04160151523
557	0.04149101271
558	0.0413644397
559	0.04129575984
560	0.04121451042
561	0.04114438871
562	0.04108527478
563	0.0409679903
564	0.04089906303
565	0.04084275694
566	0.04072898462
567	0.04060934239
568	0.04054086848
569	0.04043658261
570	0.0403366883
571	0.04024372058
572	0.04019315165
573	0.04009019472
574	0.03996120364
575	0.0398423807
576	0.03975515629
577	0.03968302985
578	0.03959301397
579	0.03949886438
580	0.03940979447
581	0.03931607201
582	0.03925849209
583	0.03912486296
584	0.03907056178
585	0.03899223165
586	0.03890984545
587	0.03881925524
588	0.03875570022
589	0.03867907516
590	0.03860047145
591	0.03847282834
592	0.03836429539
593	0.03830524556
594	0.03826159614
595	0.03818461705
596	0.03814138344
597	0.03803753999
598	0.03797387996
599	0.0379130686
600	0.03785059484
601	0.03780351773
602	0.0377309991
603	0.03766977747
604	0.03758463677
605	0.03754517595
606	0.03749063757
607	0.03741788585
608	0.03735660679
609	0.03731418184
610	0.03722209407
611	0.0371425898
612	0.03706850214
613	0.03697906121
614	0.03689134227
615	0.0368418575
616	0.03674139596
617	0.03668154138
618	0.03659863271
619	0.03655408691
620	0.03649229537
621	0.03640801416
622	0.03634685455
623	0.03628317535
624	0.03622562508
625	0.03614548269
626	0.03601847191
627	0.03587298931
628	0.03574671852
629	0.03569425444
630	0.03562071564
631	0.035574809
632	0.03552174758
633	0.03547674422
634	0.03542571261
635	0.0353288501
636	0.0352474966
637	0.03519013032
638	0.03512586627
639	0.03504409217
640	0.03496418633
641	0.03487359073
642	0.03482866845
643	0.03475011406
644	0.03469256387
645	0.03462320327
646	0.03453742758
647	0.03444866344
648	0.03440770182
649	0.03436249376
