iter	Passed	Remaining
0	1	1663
1	2	1230
2	3	1232
3	5	1257
4	7	1454
5	8	1479
6	10	1499
7	11	1478
8	13	1461
9	14	1439
10	15	1408
11	16	1389
12	18	1370
13	19	1352
14	20	1374
15	22	1414
16	24	1429
17	26	1432
18	27	1433
19	29	1423
20	30	1403
21	31	1390
22	32	1382
23	33	1372
24	34	1330
25	35	1319
26	37	1335
27	38	1352
28	40	1349
29	41	1343
30	42	1323
31	43	1316
32	44	1310
33	45	1302
34	46	1292
35	48	1286
36	49	1281
37	50	1275
38	52	1287
39	53	1293
40	55	1294
41	56	1291
42	57	1286
43	59	1284
44	60	1280
45	61	1276
46	62	1271
47	63	1266
48	65	1262
49	66	1258
50	69	1286
51	71	1299
52	72	1301
53	74	1299
54	75	1295
55	76	1290
56	77	1286
57	79	1283
58	80	1280
59	81	1276
60	82	1273
61	84	1283
62	86	1286
63	87	1284
64	89	1281
65	90	1277
66	91	1276
67	92	1274
68	94	1270
69	95	1267
70	96	1263
71	97	1260
72	100	1270
73	102	1278
74	103	1276
75	104	1274
76	106	1270
77	107	1268
78	108	1266
79	109	1263
80	111	1260
81	112	1258
82	113	1258
83	116	1265
84	117	1267
85	119	1265
86	120	1262
87	121	1258
88	122	1254
89	123	1250
90	124	1247
91	126	1244
92	127	1241
93	128	1242
94	130	1246
95	132	1247
96	133	1246
97	135	1243
98	136	1239
99	137	1235
100	138	1232
101	139	1230
102	140	1227
103	142	1225
104	143	1222
105	145	1230
106	147	1234
107	149	1234
108	151	1236
109	153	1244
110	155	1246
111	156	1242
112	158	1245
113	161	1251
114	162	1252
115	164	1251
116	165	1250
117	167	1248
118	168	1245
119	169	1243
120	170	1240
121	171	1237
122	173	1235
123	174	1234
124	176	1238
125	178	1238
126	180	1243
127	182	1241
128	183	1238
129	185	1239
130	186	1239
131	188	1237
132	189	1235
133	191	1235
134	194	1246
135	196	1247
136	198	1247
137	199	1244
138	200	1242
139	201	1240
140	203	1238
141	204	1235
142	206	1234
143	208	1240
144	211	1247
145	213	1247
146	214	1245
147	215	1243
148	217	1240
149	218	1237
150	219	1235
151	221	1233
152	223	1237
153	225	1238
154	227	1237
155	228	1237
156	230	1235
157	231	1233
158	232	1230
159	233	1228
160	235	1226
161	236	1221
162	237	1221
163	240	1226
164	242	1227
165	243	1225
166	245	1223
167	246	1220
168	247	1218
169	249	1216
170	250	1213
171	251	1210
172	252	1208
173	254	1210
174	256	1209
175	257	1207
176	259	1204
177	260	1201
178	261	1199
179	262	1196
180	263	1194
181	265	1191
182	266	1189
183	267	1187
184	269	1188
185	271	1188
186	273	1187
187	274	1184
188	275	1182
189	276	1178
190	277	1175
191	278	1173
192	279	1170
193	281	1167
194	282	1165
195	283	1163
196	286	1168
197	288	1169
198	290	1167
199	291	1166
200	292	1163
201	294	1161
202	295	1159
203	296	1156
204	297	1155
205	299	1154
206	302	1157
207	303	1157
208	305	1155
209	306	1153
210	307	1151
211	309	1149
212	310	1146
213	311	1144
214	312	1141
215	313	1139
216	315	1137
217	317	1138
218	318	1136
219	320	1136
220	321	1134
221	322	1131
222	324	1129
223	325	1126
224	326	1124
225	327	1121
226	328	1119
227	329	1116
228	331	1116
229	333	1116
230	335	1116
231	336	1114
232	338	1112
233	339	1110
234	340	1109
235	342	1107
236	343	1105
237	344	1103
238	346	1103
239	348	1103
240	350	1103
241	351	1102
242	353	1102
243	355	1100
244	356	1097
245	357	1096
246	358	1094
247	360	1092
248	361	1091
249	363	1091
250	365	1090
251	367	1090
252	368	1089
253	370	1086
254	371	1084
255	372	1082
256	373	1080
257	375	1078
258	376	1078
259	379	1079
260	379	1075
261	381	1074
262	383	1074
263	384	1073
264	386	1071
265	387	1069
266	388	1067
267	390	1065
268	391	1063
269	394	1066
270	396	1066
271	398	1065
272	399	1064
273	401	1063
274	402	1061
275	403	1059
276	405	1057
277	406	1056
278	408	1054
279	410	1055
280	411	1053
281	413	1053
282	415	1051
283	416	1049
284	417	1048
285	419	1046
286	420	1044
287	421	1042
288	422	1040
289	424	1038
290	426	1038
291	428	1038
292	429	1036
293	431	1035
294	432	1033
295	433	1031
296	434	1029
297	436	1027
298	436	1024
299	438	1022
300	439	1021
301	441	1021
302	443	1020
303	445	1019
304	447	1018
305	448	1017
306	449	1015
307	450	1013
308	452	1011
309	453	1009
310	454	1007
311	457	1008
312	459	1009
313	461	1007
314	462	1006
315	463	1003
316	465	1001
317	466	999
318	467	997
319	468	995
320	469	993
321	472	994
322	474	993
323	475	992
324	477	990
325	478	989
326	479	987
327	480	985
328	482	983
329	483	981
330	484	979
331	485	977
332	488	977
333	489	976
334	491	974
335	492	972
336	493	971
337	494	969
338	495	967
339	497	964
340	498	962
341	499	960
342	500	958
343	501	957
344	503	956
345	505	955
346	506	953
347	508	952
348	509	950
349	510	948
350	511	946
351	512	944
352	514	942
353	515	940
354	516	938
355	518	938
356	520	937
357	521	935
358	523	933
359	524	931
360	525	930
361	526	928
362	527	926
363	528	923
364	530	922
365	531	920
366	532	918
367	534	917
368	535	916
369	537	914
370	538	913
371	540	911
372	541	909
373	542	908
374	543	906
375	544	904
376	545	902
377	547	900
378	548	898
379	550	898
380	552	897
381	553	896
382	555	894
383	556	892
384	557	890
385	558	888
386	560	887
387	561	885
388	562	883
389	563	881
390	565	880
391	567	880
392	568	878
393	570	877
394	571	875
395	572	873
396	574	871
397	575	869
398	576	868
399	577	866
400	578	864
401	580	862
402	581	862
403	583	861
404	585	860
405	586	858
406	587	856
407	588	854
408	590	852
409	591	851
410	592	849
411	594	847
412	595	846
413	597	846
414	599	845
415	601	843
416	602	842
417	603	840
418	604	838
419	605	836
420	607	834
421	608	833
422	609	831
423	610	830
424	613	829
425	614	828
426	615	826
427	617	824
428	618	822
429	619	821
430	620	819
431	621	817
432	622	815
433	624	813
434	625	812
435	627	811
436	629	811
437	631	809
438	632	808
439	633	806
440	634	804
441	635	802
442	637	800
443	638	799
444	639	797
445	640	795
446	643	796
447	648	799
448	650	798
449	652	796
450	653	795
451	655	794
452	656	793
453	659	792
454	661	792
455	663	791
456	665	790
457	667	789
458	668	787
459	669	786
460	671	784
461	673	784
462	675	783
463	677	782
464	679	781
465	680	779
466	681	778
467	683	776
468	684	774
469	685	773
470	686	771
471	688	769
472	690	769
473	692	768
474	693	766
475	694	764
476	695	763
477	697	761
478	698	759
479	699	757
480	700	755
481	701	754
482	703	752
483	704	751
