STATIONNAME,LONGITUDE,LATITUDE,ELEVATION_METER,COUNTRY,CROP,YA,YW,YW-YA,YP,YP-YA,WPP,WPA,CROPPING_INTENSITY,YW_CV_TEMPORAL,YP_CV_TEMPORAL,YA_CV_TEMPORAL,CLIMATEZONE,AREA_IN_CLIMATEZONE_HA,MIN_N_INPUT_TARGET_30_PERC,MIN_N_INPUT_TARGET_50_PERC,MIN_N_INPUT_TARGET_80_PERC,nitrogen,phosphorus,potassium,ph,bulk_density,cation_exchange
Goodhope,25.26,-25.28,,Botswana,Rainfed maize,0.250219307,1.99264214,1.742422833,9.894520196,9.644300888,6.94529709,0.872132226,1.0,0.695344424,0.19816955,0.560356928,6102,8152,12.07661903,20.12769839,33.73042444,0.5,163.0,4.5,6.4,1.57,7.2
Kanye,25.4,-25.0,,Botswana,Rainfed maize,0.171145375,2.70007718,2.528931806,10.18780552,10.01666014,8.904558125,0.564418658,1.0,0.560531222,0.147472153,0.52000402,7102,10898,16.36410412,27.27350687,45.70552207,0.7,120.5,5.7,6.3,1.47,7.2
Bobo-Dioulasso,-4.317,11.167,445.0,Burkina Faso,Rainfed maize,1.98,8.803804065,6.823804065,10.65789474,8.677894737,22.78542156,5.124504629,1.0,0.194382083,0.032700076,0.097585029,10301,158555,53.35638827,88.92731378,149.0262811,0.8,65.7,5.7,6.1,1.52,9.0
Bogandé,-0.137,12.974,281.0,Burkina Faso,Rainfed maize,1.05,5.276038159,4.226038159,10.05555556,9.005555556,14.37025796,2.859867651,1.0,0.646119872,0.04814524,0.136544846,10101,32846,31.97598884,53.29331474,89.31006872,0.4,59.3,7.2,6.2,1.59,7.2
Boromo,-2.933,11.75,243.0,Burkina Faso,Rainfed maize,1.92,8.38019802,6.46019802,10.07777778,8.157777778,22.4851017,5.151596079,1.0,0.2402371,0.057814993,0.097593537,10201,161472,50.78907891,84.64846485,141.8556952,0.5,72.7,7.2,6.7,1.64,9.0
Dédougou,-3.483,12.467,299.0,Burkina Faso,Rainfed maize,1.71,5.845894737,4.135894737,10.05789474,8.347894737,15.6074678,4.565386674,1.0,0.571344008,0.048176765,0.108358223,10201,58791,35.42966507,59.04944179,98.95630867,0.8,59.3,8.0,6.8,1.59,10.0
Fada Ngourma,0.367,12.033,294.0,Burkina Faso,Rainfed maize,1.41,6.625925926,5.215925926,10.41666667,9.006666667,18.45098498,3.926377855,1.0,0.411372237,0.047631527,0.070526874,10201,48289,40.15712682,66.92854471,112.1602767,0.4,53.6,7.2,6.4,1.65,7.2
Gaoua,-3.183,10.333,339.0,Burkina Faso,Rainfed maize,1.4,7.239157895,5.839157895,10.2,8.8,20.07881609,3.883095649,1.0,0.384122283,0.052287582,0.138832188,10301,69329,43.87368421,73.12280702,122.540753,0.8,65.7,7.2,6.3,1.47,8.0
Ouahigouya,-2.417,13.567,315.0,Burkina Faso,Rainfed maize,1.11,6.328666667,5.218666667,9.911111111,8.801111111,17.25960206,3.027202932,1.0,0.463827931,0.052699702,0.252859272,10101,18474,38.35555556,63.92592593,107.1284244,0.6,65.7,6.4,6.8,1.65,11.2
Adet,37.48,11.27,2240.0,Ethiopia,Rainfed maize,3.19,16.98526316,13.79526316,17.49473684,14.30473684,21.79626286,4.09355321,1.0,0.092815425,0.050678818,0.248355539,6701,93969,102.9409888,171.5683147,287.5178257,1.3,243.7,7.2,6.0,1.19,21.2
