iter	MultiClass
0	1.765555718
1	1.740770781
2	1.717045335
3	1.694592637
4	1.672596208
5	1.650636359
6	1.632685204
7	1.615528777
8	1.603515688
9	1.589870021
10	1.575576044
11	1.563304555
12	1.552327778
13	1.540573207
14	1.530243682
15	1.519012904
16	1.507554597
17	1.501635312
18	1.49103461
19	1.484954587
20	1.476718429
21	1.469125258
22	1.463620612
23	1.456944893
24	1.450696397
25	1.446163534
26	1.437631196
27	1.4314697
28	1.424380195
29	1.41662193
30	1.411126963
31	1.405321851
32	1.401747723
33	1.396135289
34	1.390275173
35	1.385156914
36	1.381912369
37	1.378545972
38	1.372810069
39	1.368904019
40	1.365257134
41	1.361844081
42	1.357903126
43	1.354952156
44	1.349164493
45	1.344320088
46	1.3423048
47	1.337306978
48	1.334649955
49	1.329629139
50	1.327587548
51	1.323604467
52	1.32128355
53	1.317980762
54	1.314695149
55	1.312277701
56	1.309744937
57	1.306986263
58	1.305209481
59	1.301806131
60	1.297692365
61	1.295027439
62	1.293088242
63	1.290734627
64	1.288013131
65	1.285000324
66	1.281784217
67	1.279583814
68	1.276630771
69	1.273280408
70	1.269619421
71	1.266796055
72	1.265075128
73	1.262222382
74	1.260300521
75	1.258305131
76	1.255587806
77	1.252729248
78	1.250240374
79	1.248111913
80	1.247089529
81	1.244392981
82	1.242992082
83	1.241384891
84	1.240036579
85	1.238360017
86	1.236127697
87	1.234553884
88	1.233359644
89	1.231801648
90	1.229281306
91	1.227196351
92	1.225517867
93	1.223145922
94	1.220508441
95	1.21818828
96	1.216487767
97	1.214992984
98	1.213326909
99	1.211925091
100	1.210111846
101	1.207540908
102	1.205685845
103	1.203006983
104	1.201242723
105	1.198987559
106	1.196869471
107	1.195801088
108	1.19457376
109	1.192791187
110	1.190873231
111	1.189368075
112	1.187815377
113	1.186090437
114	1.184529848
115	1.183163575
116	1.181910497
117	1.179900239
118	1.178527818
119	1.177017822
120	1.17517845
121	1.172771034
122	1.170716486
123	1.169410011
124	1.168528779
125	1.167192855
126	1.165064298
127	1.162958968
128	1.16152002
129	1.159292283
130	1.15839925
131	1.156595904
132	1.154768925
133	1.154149903
134	1.152334057
135	1.151624246
136	1.15009653
137	1.149072507
138	1.147426426
139	1.145549068
140	1.14470409
141	1.142856761
142	1.141687553
143	1.140919435
144	1.139375275
145	1.137989949
146	1.136600382
147	1.136071439
148	1.135323473
149	1.134060381
150	1.132312839
151	1.130867453
152	1.129858436
153	1.12854195
154	1.127161625
155	1.126059216
156	1.125365428
157	1.123908682
158	1.122759915
159	1.121952426
160	1.120502877
161	1.119269079
162	1.118494172
163	1.117732411
164	1.116725081
165	1.115720612
166	1.114817437
