iter	Passed	Remaining
0	1	1602
1	3	1502
2	4	1506
3	6	1598
4	9	1836
5	11	1831
6	12	1804
7	14	1763
8	15	1740
9	17	1729
10	18	1705
11	20	1682
12	22	1698
13	25	1776
14	27	1778
15	28	1761
16	30	1740
17	31	1725
18	33	1709
19	34	1690
20	35	1675
21	37	1683
22	40	1737
23	42	1748
24	44	1733
25	45	1722
26	47	1708
27	48	1695
28	50	1688
29	52	1687
30	54	1709
31	57	1747
32	60	1762
33	61	1754
34	63	1746
35	65	1742
36	66	1736
37	68	1745
38	71	1763
39	74	1780
40	76	1780
41	77	1774
42	79	1773
43	81	1763
44	82	1758
45	85	1778
46	88	1798
47	90	1802
48	92	1795
49	93	1785
50	95	1777
51	96	1767
52	98	1758
53	100	1757
54	103	1779
55	106	1788
56	107	1783
57	109	1785
58	111	1778
59	113	1773
60	114	1768
61	118	1790
62	120	1792
63	122	1794
64	124	1787
65	125	1781
66	127	1772
67	128	1765
68	130	1756
69	132	1758
70	134	1764
71	136	1764
72	138	1759
73	140	1754
74	141	1747
75	143	1741
76	144	1735
77	146	1733
78	150	1752
79	152	1756
80	154	1752
81	156	1748
82	157	1740
83	159	1738
84	160	1731
85	162	1730
86	165	1739
87	168	1743
88	170	1741
89	171	1737
90	173	1733
91	175	1729
92	176	1723
93	179	1725
94	182	1737
95	184	1736
96	186	1734
97	187	1728
98	189	1722
99	190	1716
100	192	1711
101	194	1711
102	197	1717
103	199	1715
104	201	1715
105	202	1709
106	204	1704
107	205	1700
108	207	1696
109	209	1694
110	212	1698
111	214	1700
112	216	1700
113	218	1694
114	219	1689
115	221	1684
116	222	1678
117	223	1673
118	226	1678
119	229	1684
120	231	1682
121	232	1676
122	234	1671
123	235	1666
124	237	1661
125	238	1656
126	240	1652
127	243	1656
128	245	1658
129	247	1657
130	249	1654
131	250	1649
132	252	1644
133	253	1639
134	255	1634
135	257	1637
136	260	1641
137	262	1641
138	264	1638
139	265	1633
140	267	1628
141	268	1623
142	270	1619
143	271	1615
144	275	1622
145	277	1622
146	279	1619
147	280	1615
148	282	1611
149	283	1608
150	285	1603
151	286	1599
152	289	1604
153	292	1606
154	294	1607
155	296	1603
156	297	1599
157	299	1595
158	301	1592
159	302	1589
160	304	1588
161	307	1589
162	309	1589
163	311	1587
164	312	1583
165	314	1579
166	315	1575
167	317	1571
168	318	1568
169	321	1571
170	324	1571
171	326	1570
172	327	1566
173	329	1564
174	330	1560
175	332	1556
176	333	1552
177	335	1550
178	338	1552
179	340	1551
180	341	1547
181	343	1543
182	344	1539
183	346	1535
184	347	1531
185	348	1527
186	350	1523
187	353	1525
188	355	1526
189	357	1525
190	359	1522
191	360	1519
192	362	1516
193	364	1512
194	365	1510
195	368	1512
196	371	1515
197	373	1512
198	375	1510
199	376	1506
200	378	1503
201	379	1499
202	381	1495
203	384	1500
204	386	1499
205	388	1496
206	389	1493
207	391	1489
208	392	1485
209	394	1482
210	395	1480
211	397	1476
212	400	1479
213	402	1479
214	404	1478
215	406	1475
216	408	1472
217	409	1469
218	411	1466
219	412	1462
220	415	1465
221	418	1467
222	420	1466
223	422	1463
224	424	1461
